date,Nokia,Sony
2004-01-01,75,88
2004-02-01,67,78
2004-03-01,67,78
2004-04-01,65,72
2004-05-01,66,74
2004-06-01,73,83
2004-07-01,75,86
2004-08-01,72,83
2004-09-01,73,82
2004-10-01,73,84
2004-11-01,76,89
2004-12-01,84,100
2005-01-01,77,83
2005-02-01,76,78
2005-03-01,69,80
2005-04-01,70,69
2005-05-01,75,76
2005-06-01,76,78
2005-07-01,78,82
2005-08-01,77,80
2005-09-01,75,81
2005-10-01,72,78
2005-11-01,78,89
2005-12-01,83,94
2006-01-01,81,78
2006-02-01,76,71
2006-03-01,71,73
2006-04-01,70,65
2006-05-01,75,72
2006-06-01,77,72
2006-07-01,79,74
2006-08-01,83,77
2006-09-01,80,74
2006-10-01,84,78
2006-11-01,82,82
2006-12-01,91,90
2007-01-01,81,77
2007-02-01,76,67
2007-03-01,85,70
2007-04-01,82,69
2007-05-01,83,69
2007-06-01,82,71
2007-07-01,91,73
2007-08-01,98,73
2007-09-01,93,71
2007-10-01,89,73
2007-11-01,94,81
2007-12-01,100,93
2008-01-01,89,70
2008-02-01,83,69
2008-03-01,79,68
2008-04-01,75,67
2008-05-01,77,67
2008-06-01,76,67
2008-07-01,77,70
2008-08-01,82,69
2008-09-01,81,69
2008-10-01,83,67
2008-11-01,80,75
2008-12-01,90,86
2009-01-01,84,70
2009-02-01,81,60
2009-03-01,79,62
2009-04-01,75,58
2009-05-01,78,59
2009-06-01,79,60
2009-07-01,86,61
2009-08-01,88,60
2009-09-01,86,59
2009-10-01,88,64
2009-11-01,88,67
2009-12-01,99,75
2010-01-01,90,59
2010-02-01,85,59
2010-03-01,92,59
2010-04-01,78,56
2010-05-01,85,58
2010-06-01,81,55
2010-07-01,93,54
2010-08-01,97,55
2010-09-01,93,53
2010-10-01,94,50
2010-11-01,94,56
2010-12-01,99,64
2011-01-01,86,54
2011-02-01,88,47
2011-03-01,83,46
2011-04-01,79,47
2011-05-01,76,46
2011-06-01,90,44
2011-07-01,87,43
2011-08-01,91,48
2011-09-01,85,45
2011-10-01,83,46
2011-11-01,83,50
2011-12-01,90,51
2012-01-01,80,47
2012-02-01,78,43
2012-03-01,73,42
2012-04-01,70,41
2012-05-01,66,42
2012-06-01,69,42
2012-07-01,72,42
2012-08-01,67,44
2012-09-01,73,44
2012-10-01,64,42
2012-11-01,64,45
2012-12-01,68,49
2013-01-01,68,47
2013-02-01,64,45
2013-03-01,61,43
2013-04-01,60,41
2013-05-01,59,41
2013-06-01,61,44
2013-07-01,65,42
2013-08-01,65,42
2013-09-01,63,42
2013-10-01,61,45
2013-11-01,58,44
2013-12-01,60,46
2014-01-01,56,44
2014-02-01,55,42
2014-03-01,55,44
2014-04-01,55,39
2014-05-01,52,40
2014-06-01,54,43
2014-07-01,53,43
2014-08-01,52,42
2014-09-01,47,43
2014-10-01,45,42
2014-11-01,42,45
2014-12-01,41,54
2015-01-01,39,43
2015-02-01,35,40
2015-03-01,35,39
2015-04-01,32,39
2015-05-01,29,36
2015-06-01,30,40
2015-07-01,28,38
2015-08-01,27,40
2015-09-01,25,41
2015-10-01,23,38
2015-11-01,22,38
2015-12-01,21,41
2016-01-01,21,34
2016-02-01,19,33
2016-03-01,18,31
2016-04-01,17,29
2016-05-01,16,29
2016-06-01,17,29
2016-07-01,16,30
2016-08-01,16,29
2016-09-01,15,28
2016-10-01,14,29
2016-11-01,13,30
2016-12-01,15,29
2017-01-01,16,28
2017-02-01,19,26
2017-03-01,17,26
2017-04-01,13,27
2017-05-01,13,24
2017-06-01,16,26
2017-07-01,18,26
2017-08-01,17,26
2017-09-01,15,24
2017-10-01,15,26
2017-11-01,14,27
2017-12-01,16,27
2018-01-01,13,26
2018-02-01,12,27
2018-03-01,12,25
2018-04-01,12,22
2018-05-01,13,21
2018-06-01,12,23
2018-07-01,14,23
2018-08-01,13,23
2018-09-01,12,23
2018-10-01,13,22
2018-11-01,11,24
2018-12-01,11,24
2019-01-01,10,23
2019-02-01,10,20
2019-03-01,10,19
2019-04-01,9,17
2019-05-01,9,19
2019-06-01,9,19
2019-07-01,9,19
2019-08-01,10,21
2019-09-01,12,39
2019-10-01,11,18
2019-11-01,9,19
2019-12-01,9,19
2020-01-01,8,18
2020-02-01,8,16
2020-03-01,7,15
2020-04-01,6,15
2020-05-01,7,17
2020-06-01,9,18
2020-07-01,9,17
2020-08-01,8,17
2020-09-01,7,17
2020-10-01,7,17
2020-11-01,7,20
2020-12-01,7,20
2021-01-01,8,17
2021-02-01,7,15
2021-03-01,6,14
2021-04-01,5,13
2021-05-01,5,14
2021-06-01,6,14
2021-07-01,6,15
2021-08-01,6,14
2021-09-01,6,13
2021-10-01,6,13
2021-11-01,5,14
2021-12-01,6,15
2022-01-01,6,17
2022-02-01,6,15
2022-03-01,6,14
2022-04-01,6,13
2022-05-01,5,13
2022-06-01,5,13
2022-07-01,6,14
2022-08-01,6,14
2022-09-01,6,13
2022-10-01,5,13
2022-11-01,5,15
2022-12-01,5,15
2023-01-01,5,14
2023-02-01,5,14
2023-03-01,5,13
2023-04-01,5,13
